run_id,T1,d1,th1,br1,d2,th2,br2
90,0.5,45.0,0.5,1.0,-45.0,0.5,0.0
91,0.5,-22.5,1.0,3.0,-22.5,0.5,0.0
92,0.5,22.5,0.0,6.0,0.0,0.5,0.5
93,0.5,0.0,0.5,10.0,0.0,0.5,0.5
94,0.5,45.0,1.0,0.5,22.5,1.0,1.0
95,0.5,-45.0,0.0,1.0,45.0,1.0,1.0
96,0.5,0.0,0.5,3.0,45.0,1.0,3.0
97,0.5,-22.5,1.0,6.0,-45.0,1.0,3.0
98,0.5,22.5,0.0,10.0,-45.0,0.0,3.0
99,0.5,-45.0,0.5,0.0,-22.5,0.0,6.0
100,0.5,22.5,1.0,0.5,0.0,0.0,6.0
101,0.5,-22.5,0.0,1.0,0.0,0.5,10.0
102,0.5,45.0,0.5,3.0,22.5,0.5,10.0
103,0.5,-45.0,1.0,6.0,45.0,0.5,0.0
104,0.5,0.0,0.0,0.0,-45.0,0.5,0.0
105,0.5,-22.5,0.5,0.5,-45.0,1.0,0.5
106,0.5,45.0,1.0,1.0,-22.5,1.0,0.5
107,0.5,-22.5,0.0,6.0,0.0,1.0,1.0
108,0.5,22.5,0.5,10.0,0.0,1.0,1.0
109,0.5,0.0,1.0,0.0,22.5,0.0,3.0
110,0.5,45.0,0.0,0.5,45.0,0.0,3.0
111,0.5,-45.0,0.5,3.0,-45.0,0.0,3.0
112,0.5,0.0,1.0,6.0,-45.0,0.5,6.0
113,0.5,-22.5,0.0,10.0,-22.5,0.5,6.0
114,0.5,45.0,0.5,0.0,0.0,0.5,10.0
115,0.5,-45.0,1.0,1.0,22.5,0.5,10.0
116,0.5,22.5,0.0,3.0,22.5,1.0,0.0
117,0.5,0.0,0.5,6.0,45.0,1.0,0.0
118,0.5,45.0,1.0,10.0,-45.0,1.0,0.5
119,0.5,-45.0,0.0,0.5,-22.5,1.0,0.5
120,0.5,22.5,0.5,1.0,-22.5,0.0,1.0
121,0.5,-22.5,1.0,3.0,0.0,0.0,1.0
122,0.5,45.0,0.0,6.0,22.5,0.0,3.0
123,0.5,-22.5,0.5,10.0,22.5,0.0,3.0
124,0.5,22.5,1.0,0.0,45.0,0.5,6.0
125,0.5,0.0,0.0,0.5,-45.0,0.5,6.0
126,0.5,45.0,0.5,1.0,-22.5,0.5,6.0
127,0.5,-45.0,1.0,3.0,-22.5,0.5,10.0
128,0.5,0.0,0.0,6.0,0.0,1.0,10.0
129,0.5,-22.5,0.5,0.0,22.5,1.0,0.0
130,0.5,22.5,1.0,0.5,45.0,1.0,0.0
131,0.5,-45.0,0.0,1.0,45.0,0.0,0.5
132,0.5,22.5,0.5,3.0,-45.0,0.0,0.5
133,0.5,-22.5,1.0,10.0,-22.5,0.0,1.0
134,0.5,45.0,0.0,0.0,-22.5,0.0,1.0
135,0.5,-45.0,0.5,0.5,0.0,0.5,3.0
136,0.5,0.0,1.0,1.0,22.5,0.5,3.0
137,0.5,-22.5,0.0,6.0,45.0,0.5,6.0
138,0.5,45.0,0.5,10.0,45.0,0.5,6.0
139,0.5,-45.0,1.0,0.0,-45.0,1.0,6.0
140,0.5,0.0,0.5,3.0,0.0,1.0,10.0
141,0.5,45.0,1.0,6.0,0.0,0.0,0.0
142,0.5,-45.0,0.0,10.0,22.5,0.0,0.0
143,0.5,0.0,0.5,0.0,45.0,0.0,0.5
144,0.5,-22.5,1.0,1.0,45.0,0.0,0.5
145,0.5,22.5,0.0,3.0,-45.0,0.5,1.0
146,0.5,-45.0,0.5,6.0,-45.0,0.5,1.0
147,0.5,22.5,1.0,10.0,-22.5,0.5,3.0
148,0.5,0.0,0.0,0.0,0.0,0.5,3.0
149,0.5,45.0,0.5,0.5,0.0,1.0,6.0
150,0.5,-45.0,1.0,1.0,22.5,1.0,6.0
151,0.5,0.0,0.0,3.0,45.0,1.0,10.0
152,0.5,-22.5,0.5,6.0,-45.0,0.0,10.0
153,0.5,45.0,1.0,0.0,-45.0,0.0,10.0
154,0.5,-22.5,0.0,0.5,-22.5,0.0,0.0
155,0.5,22.5,0.5,1.0,0.0,0.0,0.0
156,0.5,0.0,1.0,3.0,22.5,0.5,0.5
157,0.5,45.0,0.0,10.0,22.5,0.5,0.5
158,0.5,-45.0,0.5,0.0,45.0,0.5,1.0
159,0.5,0.0,1.0,0.5,-45.0,0.5,1.0
160,0.5,-22.5,0.0,1.0,-45.0,1.0,3.0
161,0.5,22.5,0.5,6.0,-22.5,1.0,3.0
162,0.5,-45.0,1.0,10.0,0.0,1.0,6.0
163,0.5,22.5,0.0,0.0,22.5,0.0,6.0
164,0.5,-22.5,0.5,0.5,22.5,0.0,10.0
165,0.5,45.0,1.0,3.0,45.0,0.0,10.0
166,0.5,-45.0,0.0,6.0,-45.0,0.0,10.0
167,0.5,0.0,0.5,10.0,-22.5,0.5,0.0
168,0.5,-22.5,1.0,0.5,-22.5,0.5,0.0
169,0.5,45.0,0.0,1.0,0.0,0.5,0.0
170,0.5,-22.5,0.5,3.0,22.5,1.0,0.5
171,0.5,22.5,1.0,6.0,22.5,1.0,0.5
172,0.5,0.0,0.0,10.0,45.0,1.0,1.0
173,0.5,45.0,0.5,0.0,-45.0,1.0,1.0
174,0.5,-45.0,1.0,0.5,-22.5,0.0,3.0
175,0.5,0.0,0.0,1.0,-22.5,0.0,3.0
176,0.5,-22.5,0.5,3.0,0.0,0.0,6.0
177,0.5,45.0,1.0,6.0,22.5,0.0,6.0
178,0.5,-45.0,0.0,0.0,45.0,0.5,10.0
179,0.5,22.5,0.5,0.5,45.0,0.5,10.0
180,0.5,0.0,1.0,1.0,-45.0,0.5,0.0
181,0.5,45.0,0.0,3.0,-22.5,1.0,0.0
182,0.5,-45.0,0.5,10.0,-22.5,1.0,0.0
183,0.5,22.5,1.0,0.0,0.0,1.0,0.5
184,0.5,-22.5,0.0,0.5,22.5,1.0,0.5
185,0.5,45.0,0.5,1.0,45.0,0.0,1.0
186,0.5,-22.5,1.0,6.0,45.0,0.0,1.0
187,0.5,0.0,0.5,0.0,-22.5,0.0,3.0
188,0.5,45.0,1.0,1.0,0.0,0.5,6.0
189,0.5,-45.0,0.0,3.0,0.0,0.5,6.0
190,0.5,0.0,0.5,6.0,22.5,0.5,10.0
191,0.5,-22.5,1.0,10.0,45.0,1.0,10.0
192,0.5,22.5,0.0,0.5,45.0,1.0,0.0
193,0.5,-45.0,0.5,1.0,-45.0,1.0,0.0
194,0.5,22.5,1.0,3.0,-45.0,1.0,0.0
195,0.5,-22.5,0.0,6.0,-22.5,0.0,0.5
196,0.5,45.0,0.5,10.0,0.0,0.0,0.5
197,0.5,-45.0,1.0,0.0,0.0,0.0,1.0
198,0.5,0.0,0.0,0.5,22.5,0.0,1.0
199,0.5,-22.5,0.5,1.0,45.0,0.5,3.0
200,0.5,45.0,1.0,3.0,-45.0,0.5,3.0
201,0.5,-45.0,0.0,6.0,-45.0,0.5,6.0
202,0.5,22.5,0.5,0.0,-22.5,1.0,6.0
203,0.5,0.0,1.0,0.5,0.0,1.0,10.0
204,0.5,45.0,0.0,1.0,22.5,1.0,10.0
205,0.5,-45.0,0.5,3.0,22.5,1.0,0.0
206,0.5,0.0,1.0,10.0,45.0,0.0,0.0
207,0.5,-22.5,0.0,0.0,-45.0,0.0,0.5
208,0.5,22.5,0.5,0.5,-45.0,0.0,0.5
